@relation 'Feature Vector'

@attribute SourceMethodLength numeric
@attribute SourceAssignmentCount numeric
@attribute SourceIfCount numeric
@attribute SourceIteratorCount numeric
@attribute SourceSwitchCount numeric
@attribute SourceCaseCount numeric
@attribute SourceReturnCount numeric
@attribute SourceTryStatementCount numeric
@attribute SourceDeclaredVariableCount numeric
@attribute SourceExpressionCount numeric
@attribute SourceDistinctTypeCount numeric
@attribute TargetMethodLength numeric
@attribute TargetAssignmentCount numeric
@attribute TargetIfCount numeric
@attribute TargetIteratorCount numeric
@attribute TargetSwitchCount numeric
@attribute TargetCaseCount numeric
@attribute TargetReturnCount numeric
@attribute TargetTryStatementCount numeric
@attribute TargetDeclaredVariableCount numeric
@attribute TargetExpressionCount numeric
@attribute TargetDistinctTypeCount numeric
@attribute @@class@@ {TYPE1,TYPE2,VST3,ST3,MT3,WT3,nonmatch}

@data
17,1,2,1,0,0,0,1,4,8,9,16,1,0,1,0,0,0,1,4,9,9,WT3
83,4,11,2,0,0,3,2,11,45,14,7,0,1,0,0,0,1,0,1,2,5,WT3
42,6,4,1,0,0,1,2,8,18,11,33,3,2,1,0,0,2,1,10,20,14,WT3
15,0,0,0,0,0,0,1,5,9,7,126,16,21,3,0,0,1,3,28,76,15,WT3
16,0,0,0,0,0,1,1,1,9,5,13,0,0,0,0,0,2,1,2,5,4,WT3
48,1,4,1,0,0,0,0,6,38,9,27,1,1,0,0,0,2,1,8,17,13,WT3
20,1,2,0,0,0,0,1,4,10,6,14,1,2,1,0,0,0,0,4,10,6,WT3
24,2,0,0,0,0,0,1,3,16,7,34,2,2,0,0,0,3,2,4,17,7,WT3
23,2,1,0,0,0,0,0,10,17,4,19,0,1,0,0,0,0,0,4,10,5,nonmatch
19,1,0,0,0,0,0,2,2,11,6,23,4,0,1,0,0,0,2,5,13,6,WT3
16,0,0,1,0,0,1,1,6,7,7,85,7,9,2,0,0,3,2,12,35,17,WT3
13,1,0,1,0,0,1,0,6,8,8,11,2,0,1,0,0,1,0,4,6,6,nonmatch
43,5,13,1,0,0,0,3,10,27,9,13,0,0,0,0,0,0,2,2,5,5,WT3
20,0,0,0,0,0,0,0,7,18,13,13,2,2,0,0,0,0,1,4,8,7,WT3
69,6,3,2,0,0,1,3,7,44,13,17,2,0,1,0,0,0,1,4,10,6,WT3
15,1,0,3,0,0,0,0,6,7,7,50,6,3,2,0,0,0,3,14,30,8,WT3
31,5,1,2,0,0,1,0,13,23,14,20,0,1,1,0,0,1,2,3,7,8,WT3
45,4,4,0,0,0,2,1,6,25,16,19,0,0,0,0,0,0,1,5,13,9,WT3
16,5,3,1,0,0,1,0,8,12,8,30,4,3,0,0,0,1,3,4,10,13,WT3
28,3,2,1,0,0,0,1,12,18,11,35,4,5,1,0,0,0,2,4,12,12,WT3
13,0,1,1,0,0,0,0,5,8,6,34,3,3,1,0,0,0,4,5,14,10,WT3
15,2,1,1,0,0,0,0,6,13,9,150,12,18,4,0,0,2,2,28,106,16,WT3
83,4,11,2,0,0,3,2,11,45,14,13,0,0,0,0,0,0,1,2,5,6,WT3
83,4,11,2,0,0,3,2,11,45,14,22,3,0,0,0,0,1,1,5,13,7,WT3
53,2,1,0,0,0,2,3,5,33,8,119,26,22,1,0,0,2,6,17,65,10,WT3
13,1,0,0,0,0,0,1,4,7,9,14,1,0,0,0,0,2,1,2,6,5,WT3
24,2,1,1,0,0,0,1,8,17,8,24,1,0,1,0,0,0,1,7,16,9,MT3
20,0,0,0,0,0,0,0,7,18,13,26,1,3,1,0,0,5,1,4,12,9,WT3
36,3,3,1,0,0,1,1,7,19,13,58,4,5,4,0,0,1,1,9,32,13,WT3
83,4,11,2,0,0,3,2,11,45,14,24,0,7,0,0,0,0,1,5,11,8,WT3
22,3,3,1,0,0,0,1,7,14,7,23,3,0,1,0,0,1,1,7,15,8,WT3
6,0,1,1,0,0,1,0,1,1,2,12,0,2,1,0,0,0,0,3,5,3,WT3
23,1,0,1,0,0,1,0,6,18,12,110,5,4,4,0,0,0,8,17,48,14,WT3
16,1,0,1,0,0,0,1,5,8,6,57,7,10,1,0,0,0,1,13,28,11,WT3
31,5,1,2,0,0,1,0,13,23,14,13,5,0,0,0,0,0,0,4,11,5,WT3
83,4,11,2,0,0,3,2,11,45,14,27,1,1,0,0,0,2,1,8,17,13,WT3
14,4,1,0,0,0,0,1,4,9,11,47,7,8,1,0,0,2,1,15,26,15,WT3
9,0,1,0,0,0,0,0,4,5,10,7,0,1,0,0,0,0,0,1,3,2,WT3
83,4,11,2,0,0,3,2,11,45,14,9,0,0,0,0,0,0,0,2,6,6,WT3
24,1,2,2,0,0,0,1,7,11,8,51,10,3,3,0,0,0,1,9,33,13,WT3
7,0,1,0,0,0,0,0,1,3,2,10,0,4,0,0,0,0,0,1,4,2,WT3
42,5,4,0,1,3,1,2,5,16,12,11,2,0,1,0,0,1,0,4,6,6,nonmatch
20,0,0,0,0,0,0,0,7,18,13,61,4,6,0,0,0,1,3,9,30,13,WT3
49,7,8,2,0,0,0,0,11,23,11,49,3,10,6,0,0,2,0,15,31,25,WT3
14,4,0,0,0,0,0,1,1,8,3,14,1,0,0,0,0,1,2,3,5,6,WT3
32,0,3,0,0,0,0,2,7,20,13,13,0,0,2,0,0,0,0,4,7,7,WT3
17,1,0,1,0,0,0,0,8,15,8,21,0,0,0,0,0,1,3,2,9,8,WT3
14,0,2,0,0,0,2,1,2,3,7,36,1,7,1,0,0,2,1,8,15,24,WT3
25,3,3,1,0,0,1,1,5,13,8,16,2,0,1,0,0,0,0,7,12,9,WT3
53,0,5,0,0,0,5,3,12,30,15,44,1,1,0,0,0,3,4,2,22,16,WT3
9,1,0,1,0,0,0,0,3,7,6,13,0,1,0,0,0,0,0,4,9,9,WT3
13,0,0,0,0,0,0,1,5,8,7,8,0,0,0,0,0,0,1,1,3,2,WT3
23,0,1,0,0,0,0,1,3,15,5,24,2,0,2,0,0,0,1,6,15,11,WT3
10,1,0,0,0,0,1,1,2,4,3,9,0,0,0,0,0,1,1,1,2,4,MT3
48,1,4,1,0,0,0,0,6,38,9,27,4,0,1,0,0,1,3,5,12,15,WT3
16,1,1,0,0,0,0,1,4,9,6,7,0,0,0,0,0,0,0,2,5,5,WT3
26,1,2,1,0,0,0,1,6,14,9,25,2,1,1,0,0,1,0,7,22,9,WT3
15,0,1,0,0,0,0,1,5,8,10,64,2,17,1,0,0,0,0,3,30,3,WT3
19,1,1,1,0,0,1,0,8,12,6,14,0,1,1,0,0,0,0,5,8,5,WT3
21,0,0,0,0,0,0,2,3,13,5,27,3,2,1,0,0,0,3,4,11,9,WT3
6,0,1,0,0,0,0,0,3,3,7,36,10,4,0,0,0,1,1,8,20,9,WT3
110,5,4,4,0,0,0,8,17,48,14,80,22,4,6,0,0,0,2,16,55,11,WT3
33,2,4,1,0,0,3,0,8,13,8,17,0,3,0,0,0,0,1,2,6,5,WT3
11,0,0,0,0,0,0,1,3,5,8,12,2,2,0,0,0,1,1,2,6,6,WT3
24,2,0,0,0,0,0,1,3,16,7,144,6,11,2,0,0,3,7,22,84,15,WT3
17,0,0,0,0,0,2,1,4,5,16,19,0,1,1,0,0,2,1,5,8,7,WT3
114,9,11,9,0,0,3,1,29,68,12,13,0,1,0,0,0,2,1,3,4,9,WT3
83,4,11,2,0,0,3,2,11,45,14,18,1,2,2,0,0,0,0,9,12,10,WT3
14,2,0,0,0,0,1,1,3,5,8,13,0,2,0,0,0,2,0,2,4,8,WT3
83,4,11,2,0,0,3,2,11,45,14,33,2,1,0,0,0,0,1,7,21,12,WT3
20,0,0,0,0,0,0,0,7,18,13,16,0,2,0,0,0,0,1,1,5,3,WT3
16,2,2,0,0,0,2,0,3,7,7,7,0,0,0,0,0,0,0,2,5,6,nonmatch
18,0,2,0,0,0,1,1,3,8,7,13,2,2,0,0,0,0,1,4,8,9,WT3
13,3,0,2,0,0,1,0,7,8,1,17,5,1,1,0,0,0,0,4,8,2,nonmatch
24,0,0,0,0,0,1,2,2,10,11,35,4,4,1,0,0,4,1,4,7,12,WT3
22,3,2,2,0,0,1,0,5,11,6,13,1,0,0,0,0,2,1,3,6,5,WT3
22,3,1,2,0,0,1,0,7,13,8,15,3,1,1,0,0,0,0,3,9,8,WT3
16,1,0,1,0,0,1,1,5,9,8,38,4,3,1,0,0,3,2,7,18,9,WT3
24,3,6,1,0,0,2,2,4,12,10,34,5,3,2,0,0,0,2,6,16,8,WT3
7,0,0,0,0,0,1,1,0,0,7,10,0,0,0,0,0,2,1,2,3,5,WT3
83,4,11,2,0,0,3,2,11,45,14,47,15,3,1,0,0,1,2,17,36,14,WT3
166,68,15,1,0,0,1,1,37,127,14,28,1,1,0,0,0,2,1,8,18,13,WT3
134,0,4,4,1,23,0,0,20,56,20,22,2,4,0,0,0,0,1,2,9,5,WT3
11,0,3,0,0,0,2,0,3,3,13,22,2,2,0,0,0,1,2,3,5,10,WT3
17,0,1,0,0,0,0,0,7,12,10,12,0,0,1,0,0,0,1,4,5,7,WT3
42,1,2,0,0,0,0,1,15,32,13,42,1,2,0,0,0,0,1,15,32,13,TYPE1
114,9,11,9,0,0,3,1,29,68,12,35,3,1,0,0,0,1,4,2,6,11,WT3
12,1,1,0,0,0,1,1,0,4,2,14,2,0,0,0,0,1,1,2,5,6,WT3
14,1,1,0,0,0,1,1,3,6,4,19,3,1,1,0,0,0,0,9,13,6,WT3
30,2,4,0,0,0,0,3,4,9,8,34,4,3,1,0,0,1,1,8,19,11,WT3
16,0,1,0,0,0,0,1,6,8,11,24,2,4,0,0,0,2,0,6,10,9,WT3
14,0,0,0,0,0,1,1,4,8,7,36,7,1,2,0,0,0,1,7,24,10,WT3
84,6,10,1,0,0,2,2,18,45,22,79,4,9,1,0,0,4,2,18,46,20,WT3
24,8,1,1,0,0,0,1,7,15,7,24,0,2,1,0,0,2,1,7,11,11,WT3
40,4,8,1,0,0,0,1,9,20,14,19,0,2,0,0,0,0,2,4,9,7,WT3
7,0,0,0,0,0,0,0,2,5,5,24,2,1,1,0,0,3,2,3,8,5,WT3
37,2,3,1,0,0,0,1,7,20,11,32,3,1,3,0,0,0,1,8,18,12,WT3
16,0,1,0,0,0,1,1,4,5,10,31,1,1,0,0,0,0,2,8,21,21,WT3
25,5,1,0,0,0,1,3,6,11,11,15,0,1,0,0,0,2,1,3,4,7,WT3
62,3,3,0,0,0,1,2,21,47,22,10,0,1,0,0,0,0,0,3,5,6,WT3
31,3,3,1,0,0,0,0,8,19,11,10,1,0,1,0,0,0,0,2,6,3,WT3
26,4,2,2,0,0,0,0,8,14,8,43,5,1,4,0,0,0,1,11,26,11,WT3
27,4,0,1,0,0,1,3,5,12,15,27,4,0,1,0,0,1,3,5,12,15,TYPE2
16,0,1,0,0,0,2,1,2,4,7,27,0,2,1,0,0,1,1,10,17,10,WT3
24,2,3,0,0,0,2,1,6,12,7,14,1,0,1,0,0,0,1,4,7,7,WT3
20,0,0,0,0,0,0,0,7,18,13,30,2,4,0,0,0,0,3,4,9,8,WT3
22,0,1,0,0,0,0,2,5,10,8,26,6,5,1,0,0,1,1,5,14,9,WT3
12,0,2,0,0,0,0,1,2,5,5,27,4,0,1,0,0,1,3,5,12,15,WT3
29,5,2,2,0,0,0,1,9,19,9,11,0,0,0,0,0,0,0,4,9,5,WT3
11,0,0,0,0,0,1,0,3,8,4,42,4,4,1,0,0,1,1,9,30,14,WT3
17,1,0,1,0,0,0,0,8,15,8,59,1,1,3,0,0,2,1,25,43,13,WT3
12,0,0,0,0,0,1,0,5,9,6,43,8,3,2,0,0,1,1,9,26,9,WT3
7,0,0,0,0,0,0,0,2,5,4,36,2,4,2,0,0,0,0,8,24,8,WT3
83,4,11,2,0,0,3,2,11,45,14,18,0,0,0,0,0,0,0,10,16,10,WT3
9,0,1,0,0,0,0,0,2,5,6,10,0,1,0,0,0,0,0,1,5,4,WT3
87,7,12,4,0,0,1,0,22,63,15,68,6,4,1,0,0,6,4,15,37,12,WT3
16,1,0,1,0,0,1,0,9,11,11,15,1,0,1,0,0,0,0,8,10,9,WT3
13,1,0,0,0,0,1,1,4,7,5,20,2,1,1,0,0,1,1,6,11,7,WT3
20,0,0,0,0,0,0,0,7,18,13,7,0,0,0,0,0,1,0,2,4,4,WT3
14,1,0,0,0,0,2,1,2,6,5,34,6,4,0,0,0,3,1,5,13,12,WT3
57,4,8,3,0,0,1,2,15,26,14,10,0,0,0,0,0,1,1,3,3,7,WT3
12,0,0,0,0,0,1,1,3,5,12,22,3,1,1,0,0,1,1,4,8,15,WT3
130,13,10,3,0,0,0,1,19,102,19,15,0,2,1,0,0,1,1,4,6,6,WT3
15,0,2,1,0,0,1,1,4,6,6,21,2,1,1,0,0,1,1,6,15,9,WT3
9,0,0,0,0,0,0,0,4,7,7,19,3,2,1,0,0,0,3,3,8,6,WT3
7,0,0,0,0,0,0,0,2,5,5,19,0,2,0,0,0,0,2,4,9,7,WT3
20,0,0,0,0,0,0,0,7,18,13,19,1,0,2,0,0,2,1,4,10,9,WT3
16,3,0,0,0,0,0,0,5,14,7,33,3,2,0,0,0,0,0,15,26,15,WT3
11,0,0,0,0,0,2,1,1,4,3,37,4,7,1,0,0,0,2,6,14,14,WT3
12,0,0,0,0,0,1,0,5,9,6,71,8,9,7,0,0,0,0,30,51,13,WT3
56,4,8,1,0,0,3,3,10,23,11,22,2,0,0,0,0,0,0,10,19,9,WT3
9,0,1,1,0,0,1,0,2,2,3,9,0,1,1,0,0,1,0,2,2,3,ST3
11,1,0,0,0,0,0,1,2,5,8,13,2,2,0,0,0,0,1,4,8,7,WT3
6,0,1,1,0,0,1,0,1,1,2,11,0,1,1,0,0,0,0,3,4,2,WT3
81,10,8,1,0,0,1,4,12,41,8,21,1,1,2,0,0,0,0,9,14,6,WT3
84,3,6,1,0,0,2,5,19,48,25,7,0,0,0,0,0,0,0,2,5,6,nonmatch
114,9,11,9,0,0,3,1,29,68,12,27,4,3,1,0,0,3,1,6,9,12,WT3
83,4,11,2,0,0,3,2,11,45,14,44,4,2,3,0,0,1,0,22,30,17,WT3
5,0,2,0,0,0,3,0,0,0,1,5,0,2,0,0,0,3,0,0,0,1,TYPE1
10,0,0,0,0,0,1,1,3,3,7,20,19,17,0,0,0,1,0,4,23,14,WT3
68,5,8,0,0,0,3,2,4,32,14,34,0,3,0,0,0,1,1,6,14,9,WT3
493,88,42,4,4,86,0,7,39,165,30,24,0,0,0,0,0,1,2,2,10,11,WT3
31,7,2,3,0,0,0,1,10,17,12,10,0,0,1,0,0,0,0,4,6,7,WT3
83,4,11,2,0,0,3,2,11,45,14,19,1,0,2,0,0,0,1,4,10,6,WT3
83,4,11,2,0,0,3,2,11,45,14,18,0,1,1,0,0,0,0,8,11,7,WT3
24,2,0,0,0,0,0,1,3,16,7,38,5,3,0,0,0,1,3,4,19,6,WT3
13,2,1,0,0,0,1,1,1,5,3,17,3,1,0,0,0,1,1,4,9,5,WT3
13,3,0,2,0,0,1,0,5,6,3,9,1,0,2,0,0,1,0,3,2,2,WT3
26,3,2,1,0,0,0,2,4,11,7,429,40,34,14,0,0,0,4,128,325,46,WT3
69,3,6,2,1,2,0,1,19,42,13,37,6,3,2,0,0,0,2,5,15,9,WT3
48,1,4,1,0,0,0,0,6,38,9,173,17,16,2,0,0,4,6,30,110,31,WT3
24,2,0,0,0,0,0,1,3,16,7,20,2,1,0,0,0,0,1,3,12,5,WT3
10,2,2,1,0,0,2,0,4,6,2,10,3,2,1,0,0,2,0,3,6,3,WT3
9,0,0,0,0,0,2,1,2,2,6,60,6,3,1,0,0,2,2,17,38,27,WT3
8,0,0,0,0,0,0,0,2,6,8,17,0,2,0,0,0,0,2,2,5,4,WT3
18,0,1,0,0,0,0,1,4,10,4,43,6,2,1,0,0,0,3,11,27,12,WT3
18,1,3,1,0,0,0,1,5,9,8,6,0,0,0,0,0,1,0,2,3,4,WT3
25,4,2,2,0,0,2,0,8,12,4,42,5,5,1,0,0,2,0,11,24,14,WT3
13,2,0,0,0,0,1,1,3,7,9,11,0,0,0,0,0,2,1,3,3,5,WT3
17,4,1,2,0,0,1,0,7,12,9,85,10,13,2,0,0,1,2,13,41,30,WT3
83,4,11,2,0,0,3,2,11,45,14,27,4,0,1,0,0,1,3,5,12,15,WT3
67,7,3,2,0,0,5,5,22,37,21,32,4,2,1,0,0,1,3,6,14,10,WT3
12,0,1,0,0,0,0,1,1,4,4,14,1,2,1,0,0,0,1,4,7,7,WT3
64,0,0,0,0,0,0,2,2,54,12,13,0,0,0,0,0,0,1,5,8,7,WT3
20,0,0,0,0,0,0,0,7,18,13,20,0,1,1,0,0,0,0,7,13,7,WT3
9,0,2,0,0,0,0,0,2,6,5,22,3,0,1,0,0,0,1,8,14,13,WT3
26,5,2,1,0,0,0,1,8,17,8,23,2,2,0,0,0,0,1,4,9,7,WT3
9,1,2,0,0,0,0,0,0,3,2,32,1,3,0,0,0,2,1,11,19,18,WT3
25,2,1,1,0,0,1,0,7,22,9,27,3,1,1,0,0,1,1,7,17,7,WT3
355,16,30,16,0,0,16,6,103,211,44,88,16,9,2,0,0,3,4,18,48,17,WT3
13,0,0,0,0,0,0,1,5,8,7,13,0,0,0,0,0,0,1,5,8,7,TYPE1
39,0,1,1,0,0,0,1,9,27,18,76,12,16,0,0,0,0,3,12,47,7,WT3
14,1,2,1,0,0,0,0,2,5,4,8,2,2,1,0,0,1,0,3,4,2,WT3
19,2,1,1,0,0,0,0,8,17,11,31,3,0,1,0,0,0,1,9,24,6,WT3
30,1,4,0,0,0,2,1,4,15,9,21,2,3,1,0,0,0,0,5,11,7,WT3
83,4,11,2,0,0,3,2,11,45,14,83,4,11,2,0,0,3,2,11,45,14,TYPE1
9,0,0,0,0,0,0,0,2,6,6,22,0,0,0,0,0,0,0,3,6,8,WT3
81,16,10,9,0,0,0,1,12,37,8,16,1,1,0,0,0,0,1,4,9,6,WT3
22,1,1,0,0,0,1,1,5,6,10,8,0,0,0,0,0,1,0,3,4,11,WT3
21,0,5,0,0,0,2,1,6,7,8,8,0,1,0,0,0,1,0,2,2,10,WT3
16,0,1,1,0,0,1,0,4,9,9,20,3,1,2,0,0,1,0,5,11,8,WT3
31,5,1,2,0,0,1,0,13,23,14,33,3,2,1,0,0,2,1,10,20,14,WT3
46,9,0,3,0,0,0,2,16,32,8,18,2,1,1,0,0,1,0,8,11,7,WT3
24,1,0,2,0,0,1,0,11,17,12,19,2,2,2,0,0,0,0,6,12,9,WT3
38,0,1,2,0,0,0,1,24,27,18,13,0,0,0,0,0,0,0,7,11,19,WT3
53,13,11,0,0,0,4,1,12,34,9,16,1,0,0,0,0,1,1,1,3,10,WT3
49,7,3,3,0,0,0,2,15,28,15,10,0,0,0,0,0,0,1,2,4,6,WT3
24,3,1,1,0,0,0,1,5,14,6,15,1,0,1,0,0,0,0,7,11,8,WT3
13,1,0,0,0,0,2,1,3,6,5,24,5,0,1,0,0,1,1,9,16,9,WT3
53,13,5,1,0,0,2,1,6,31,11,12,0,2,0,0,0,0,0,2,8,7,WT3
15,1,2,0,0,0,0,1,2,6,5,7,0,0,0,0,0,0,0,2,5,6,nonmatch
13,0,0,0,0,0,0,1,5,8,7,18,0,2,1,0,0,2,0,5,8,6,WT3
114,9,11,9,0,0,3,1,29,68,12,29,9,4,0,0,0,0,1,3,13,11,WT3
35,6,2,1,0,0,2,3,7,17,7,39,3,3,1,0,0,0,2,10,22,10,WT3
35,4,2,2,0,0,0,3,7,16,11,22,2,4,0,0,0,0,1,2,9,5,WT3
7,0,0,0,0,0,0,0,2,5,5,24,2,4,0,0,0,0,1,3,10,7,WT3
18,0,2,1,0,0,2,0,5,8,6,21,2,1,0,0,0,0,1,5,14,5,WT3
25,0,2,0,0,0,0,2,4,11,8,73,10,10,1,0,0,2,4,9,20,20,WT3
15,0,0,0,0,0,2,1,6,8,7,28,5,1,1,0,0,1,2,8,17,7,WT3
26,5,2,0,0,0,1,0,9,19,15,63,0,0,0,0,0,0,2,2,53,12,WT3
12,0,1,0,0,0,0,1,2,3,7,18,0,2,1,0,0,2,0,5,8,6,WT3
21,0,0,0,0,0,1,1,6,14,11,50,12,1,0,0,0,3,3,6,31,11,WT3
56,0,11,2,0,0,2,0,9,14,5,180,13,28,12,0,0,0,12,36,110,16,WT3
17,0,1,2,0,0,1,0,5,8,7,36,6,5,3,0,0,1,0,13,25,14,WT3
9,0,0,0,0,0,0,0,4,7,7,171,8,12,4,0,0,9,4,24,66,24,WT3
83,4,11,2,0,0,3,2,11,45,14,12,0,2,0,0,0,0,1,2,5,5,WT3
22,3,3,1,0,0,0,1,7,14,7,25,2,1,1,0,0,1,0,7,22,9,WT3
18,2,0,1,0,0,1,1,5,8,7,100,35,0,0,1,5,17,4,10,45,17,WT3
83,4,11,2,0,0,3,2,11,45,14,6,0,0,0,0,0,0,0,2,4,5,WT3
36,3,2,0,0,0,1,1,2,20,7,11,0,1,0,0,0,2,1,1,3,4,WT3
83,4,11,2,0,0,3,2,11,45,14,28,4,3,1,0,0,0,1,8,18,10,WT3
83,4,11,2,0,0,3,2,11,45,14,11,0,0,0,0,0,0,1,2,5,6,WT3
18,0,0,1,0,0,1,1,8,10,9,12,0,1,0,0,0,2,1,2,3,6,WT3
24,3,2,1,0,0,0,0,6,14,9,23,2,2,0,0,0,1,1,3,13,9,WT3
115,32,3,15,1,4,1,0,35,65,14,99,50,0,16,0,0,0,0,31,65,5,WT3
20,0,0,1,0,0,0,0,4,16,9,27,4,0,1,0,0,1,3,5,12,15,WT3
24,3,4,1,0,0,0,1,7,15,7,23,3,0,1,0,0,1,2,4,11,7,WT3
13,0,0,0,0,0,0,1,5,8,7,28,5,3,1,0,0,0,1,13,22,15,WT3
32,7,1,2,0,0,1,1,10,20,8,23,2,0,1,0,0,0,2,4,13,6,WT3
6,0,0,0,0,0,1,0,2,3,6,32,0,0,0,0,0,2,1,4,25,6,WT3
38,2,0,0,0,0,1,3,3,13,13,17,0,1,0,0,0,1,1,1,1,10,WT3
83,4,11,2,0,0,3,2,11,45,14,124,7,1,3,0,0,0,5,38,97,32,WT3
37,0,4,1,0,0,4,1,8,16,9,27,1,2,2,0,0,0,0,6,16,9,WT3
15,2,0,0,0,0,1,1,2,9,6,7,0,0,0,0,0,1,0,4,4,9,WT3
36,1,2,3,0,0,0,0,10,24,11,50,2,13,1,0,0,0,1,11,22,15,WT3
39,1,6,2,0,0,0,2,8,15,9,25,0,2,1,0,0,0,1,8,14,8,WT3
13,2,2,0,0,0,1,0,2,5,4,78,5,8,0,0,0,0,3,16,49,18,WT3
6,0,0,0,0,0,1,0,2,3,4,18,0,1,1,0,0,0,0,6,13,8,WT3
29,3,0,1,0,0,2,2,6,17,7,7,0,0,0,0,0,1,0,2,4,6,WT3
36,1,2,3,0,0,0,0,10,24,11,16,0,1,0,0,0,1,1,2,7,5,WT3
12,0,2,0,0,0,0,1,2,5,5,27,4,0,1,0,0,1,3,5,12,15,WT3
24,1,0,0,0,0,1,1,2,3,14,12,0,1,0,0,0,3,1,4,4,8,WT3
86,15,9,3,1,14,0,0,13,31,9,26,5,2,3,0,0,0,0,7,13,6,WT3
24,3,4,1,0,0,0,1,7,15,7,16,1,0,1,0,0,1,1,5,9,8,WT3
83,4,11,2,0,0,3,2,11,45,14,60,0,0,0,0,0,2,1,22,53,8,WT3
42,1,2,0,0,0,0,1,15,32,13,27,0,0,0,0,0,1,1,3,15,13,WT3
34,3,0,1,0,0,0,0,7,24,14,6,0,0,0,0,0,1,0,2,3,4,WT3
15,1,2,0,0,0,0,1,2,6,5,9,0,0,1,0,0,0,0,2,5,4,nonmatch
63,0,0,0,0,0,0,2,2,53,12,18,0,2,1,0,0,2,0,5,8,6,WT3
9,0,0,0,0,0,1,1,1,2,4,22,8,0,0,0,0,0,1,3,17,4,WT3
22,1,2,1,0,0,0,1,7,13,6,48,2,1,1,0,0,2,1,18,37,11,WT3
35,1,4,1,0,0,3,1,10,20,11,32,1,1,2,0,0,1,0,12,23,12,WT3
574,19,35,9,4,62,1,3,144,242,24,9,0,0,1,0,0,0,0,2,5,4,nonmatch
10,1,0,0,0,0,0,1,2,4,6,18,3,1,1,0,0,0,1,4,7,7,WT3
50,10,4,2,0,0,0,3,10,24,9,30,2,1,0,0,0,3,3,5,13,8,WT3
22,3,3,1,0,0,0,1,7,14,7,28,3,2,1,0,0,2,2,5,16,8,WT3
114,9,11,9,0,0,3,1,29,68,12,114,9,11,9,0,0,3,1,29,68,12,TYPE1
16,0,1,0,0,0,1,1,4,5,10,26,1,2,0,0,0,3,1,6,14,11,WT3
24,3,4,1,0,0,0,1,7,15,7,27,3,1,2,0,0,1,1,9,17,10,WT3
19,0,4,1,0,0,3,0,1,4,3,11,0,1,1,0,0,0,0,2,4,3,WT3
110,5,4,4,0,0,0,8,17,48,14,14,1,1,0,0,0,3,1,5,7,6,WT3
15,0,2,0,0,0,0,1,1,4,3,13,0,1,2,0,0,0,0,5,6,7,WT3
32,2,5,0,0,0,0,1,2,15,7,29,9,4,0,0,0,0,1,3,13,11,WT3
50,16,3,1,0,0,3,1,20,40,15,34,5,6,1,0,0,1,0,6,14,10,WT3
117,21,29,1,0,0,0,1,28,78,17,59,2,10,3,0,0,0,1,16,37,13,WT3
10,1,0,2,0,0,1,0,4,3,3,19,3,1,2,0,0,1,0,9,10,5,WT3
